,Organism,plasmidAccId,plasmidLength,chromosomeAccId,chromosomeLength,plasmidGC,plasmidGC,chromosmeGC
3750,Leptolyngbya sp. NIES-3755 (cyanobacteria),NZ_AP017311.1,92964,NZ_AP017308.1,6244812,47.35,47.35,46.65
3751,Staphylococcus aureus (firmicutes),NZ_CP014424.1,3125,NZ_CP014423.1,2919826,28.74,28.74,32.79
3752,Staphylococcus aureus (firmicutes),NZ_CP014425.1,27068,NZ_CP014423.1,2919826,30.53,30.53,32.79
3753,Acetobacter pasteurianus NBRC 101655 (a-proteobacteria),NZ_AP014882.1,187193,NZ_AP014881.1,2902389,52.02,52.02,52.79
3754,Acetobacter pasteurianus NBRC 101655 (a-proteobacteria),NZ_AP014883.1,6331,NZ_AP014881.1,2902389,52.88,52.88,52.79
3755,Acetobacter pasteurianus NBRC 101655 (a-proteobacteria),NZ_AP014884.1,2799,NZ_AP014881.1,2902389,58.2,58.2,52.79
3756,Acetobacter pasteurianus NBRC 101655 (a-proteobacteria),NZ_AP014885.1,2278,NZ_AP014881.1,2902389,55.71,55.71,52.79
3757,Pediococcus claussenii (firmicutes),NZ_CP014937.1,37848,NZ_CP014936.1,1886832,44.46,44.46,36.83
3758,Pediococcus claussenii (firmicutes),NZ_CP014938.1,23149,NZ_CP014936.1,1886832,43.85,43.85,36.83
3759,Pediococcus claussenii (firmicutes),NZ_CP014939.1,40099,NZ_CP014936.1,1886832,40.22,40.22,36.83
3760,Klebsiella pneumoniae (enterobacteria),NZ_CP025147.1,205953,NZ_CP025146.1,5383248,52.97,52.97,57.43
3761,Klebsiella pneumoniae (enterobacteria),NZ_CP025148.1,161986,NZ_CP025146.1,5383248,53.41,53.41,57.43
3762,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026682.1,213966,NZ_CP026681.1,8214648,41.09,41.09,41.44
3763,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026683.1,21916,NZ_CP026681.1,8214648,37.41,37.41,41.44
3764,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026684.1,167441,NZ_CP026681.1,8214648,40.44,40.44,41.44
3765,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026685.1,44778,NZ_CP026681.1,8214648,41.4,41.4,41.44
3766,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026686.1,44777,NZ_CP026681.1,8214648,40.86,40.86,41.44
3767,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026687.1,41255,NZ_CP026681.1,8214648,40.9,40.9,41.44
3768,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026688.1,30992,NZ_CP026681.1,8214648,40.99,40.99,41.44
3769,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026689.1,29551,NZ_CP026681.1,8214648,42.37,42.37,41.44
3770,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026690.1,66996,NZ_CP026681.1,8214648,41.35,41.35,41.44
3771,Nostoc sp. 'Peltigera membranacea cyanobiont N6' (cyanobacteria),NZ_CP026691.1,22270,NZ_CP026681.1,8214648,36.63,36.63,41.44
3772,Magnetospirillum sp. XM-1 (a-proteobacteria),NZ_LN997849.1,167290,NZ_LN997848.1,4825187,66.48,66.48,65.64
3773,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013945.1,57427,NZ_CP013944.1,3167361,37.27,37.27,39.74
3774,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013946.1,179831,NZ_CP013944.1,3167361,38.88,38.88,39.74
3775,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013947.1,33556,NZ_CP013944.1,3167361,40.6,40.6,39.74
3776,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013948.1,51569,NZ_CP013944.1,3167361,39.05,39.05,39.74
3777,Lactobacillus plantarum (firmicutes),NZ_CP024415.1,39069,NZ_CP024413.1,3202808,41.45,41.45,44.65
3778,Lactobacillus plantarum (firmicutes),NZ_CP024414.1,49515,NZ_CP024413.1,3202808,38.32,38.32,44.65
3779,Lactobacillus plantarum (firmicutes),NZ_CP024417.1,9039,NZ_CP024413.1,3202808,36.36,36.36,44.65
3780,Lactobacillus plantarum (firmicutes),NZ_CP024416.1,9042,NZ_CP024413.1,3202808,37.07,37.07,44.65
3781,Streptomyces sp. ADI95-16 (high GC Gram+),NZ_CP033582.1,630187,NZ_CP033581.1,8184000,70.75,70.75,72.19
3782,Streptomyces sp. ADI95-16 (high GC Gram+),NZ_CP033583.1,254705,NZ_CP033581.1,8184000,70.39,70.39,72.19
3783,Streptomyces sp. ADI95-16 (high GC Gram+),NZ_CP033584.1,10517,NZ_CP033581.1,8184000,71.47,71.47,72.19
3784,Streptomyces sp. ADI95-16 (high GC Gram+),NZ_CP033585.1,7012,NZ_CP033581.1,8184000,71.35,71.35,72.19
3785,Citrobacter koseri (enterobacteria),NZ_CP023528.1,9195,NZ_CP023527.1,4875257,55.13,55.13,53.8
3786,Citrobacter freundii (enterobacteria),NZ_CP022152.1,296175,NZ_CP022151.1,5242839,47.79,47.79,51.98
3787,Citrobacter freundii (enterobacteria),NZ_CP022153.1,63458,NZ_CP022151.1,5242839,51.18,51.18,51.98
3788,Clostridium chauvoei (firmicutes),NZ_CP018631.1,3941,NZ_CP018630.1,2885628,27.05,27.05,28.29
3789,Blastomonas sp. RAC04 (a-proteobacteria),NZ_CP016462.1,186489,NZ_CP016460.1,3982627,60.22,60.22,64.34
3790,Blastomonas sp. RAC04 (a-proteobacteria),NZ_CP016458.1,152317,NZ_CP016460.1,3982627,59.86,59.86,64.34
3791,Blastomonas sp. RAC04 (a-proteobacteria),NZ_CP016459.1,42134,NZ_CP016460.1,3982627,59.69,59.69,64.34
3792,Blastomonas sp. RAC04 (a-proteobacteria),NZ_CP016461.1,39932,NZ_CP016460.1,3982627,58.88,58.88,64.34
3793,Meiothermus silvanus DSM 9946 (bacteria),NC_014213.1,347854,NC_014212.1,3249394,64.59,64.59,62.36
3794,Meiothermus silvanus DSM 9946 (bacteria),NC_014214.1,124421,NC_014212.1,3249394,66.67,66.67,62.36
3795,Sphingobium yanoikuyae (a-proteobacteria),NZ_CP020927.1,189183,NZ_CP020925.1,5260163,61.43,61.43,64.36
3796,Sphingobium yanoikuyae (a-proteobacteria),NZ_CP020926.1,220037,NZ_CP020925.1,5260163,63.69,63.69,64.36
3797,Clostridium botulinum (firmicutes),NZ_CP013846.1,17430,NZ_CP013845.1,3922099,26.15,26.15,28.17
3798,Clostridium botulinum (firmicutes),NZ_CP013844.1,215420,NZ_CP013845.1,3922099,25.12,25.12,28.17
3799,Pseudomonas syringae pv. tomato str. DC3000 (g-proteobacteria),NC_004633.1,73661,NC_004578.1,6397126,55.15,55.15,58.4
3800,Pseudomonas syringae pv. tomato str. DC3000 (g-proteobacteria),NC_004632.1,67473,NC_004578.1,6397126,56.17,56.17,58.4
3801,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013797.1,188297,NZ_CP013796.1,3186791,39.14,39.14,39.73
3802,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013798.1,60078,NZ_CP013796.1,3186791,37.33,37.33,39.73
3803,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013799.1,33518,NZ_CP013796.1,3186791,40.61,40.61,39.73
3804,Piscirickettsia salmonis (g-proteobacteria),NZ_CP013800.1,20368,NZ_CP013796.1,3186791,53.08,53.08,39.73
3805,Bacillus muralis (firmicutes),NZ_CP017081.1,87645,NZ_CP017080.1,4919373,35.14,35.14,42.38
3806,Acinetobacter pittii (g-proteobacteria),NZ_CP014478.1,146597,NZ_CP014477.1,4033345,38.59,38.59,38.79
3807,Acinetobacter pittii (g-proteobacteria),NZ_CP014479.1,36862,NZ_CP014477.1,4033345,36.35,36.35,38.79
3808,Bacillus amyloliquefaciens (firmicutes),NZ_CP014701.1,8008,NZ_CP014700.1,3927922,40.45,40.45,46.62
3809,Roseobacter denitrificans OCh 114 (a-proteobacteria),NC_008386.1,106469,NC_008209.1,4133097,55.99,55.99,58.97
3810,Roseobacter denitrificans OCh 114 (a-proteobacteria),NC_008387.1,69269,NC_008209.1,4133097,59.22,59.22,58.97
3811,Roseobacter denitrificans OCh 114 (a-proteobacteria),NC_008388.1,16575,NC_008209.1,4133097,55.03,55.03,58.97
3812,Roseobacter denitrificans OCh 114 (a-proteobacteria),NC_008389.1,5824,NC_008209.1,4133097,55.6,55.6,58.97
3813,Listeria monocytogenes (firmicutes),NZ_CP022021.1,152337,NZ_CP022020.1,3086176,36.98,36.98,38.05
3814,Acinetobacter baumannii LAC-4 (g-proteobacteria),NZ_CP007713.1,8006,NZ_CP007712.1,3954354,31.99,31.99,39.02
3815,Acinetobacter baumannii LAC-4 (g-proteobacteria),NZ_CP007714.1,6076,NZ_CP007712.1,3954354,39.27,39.27,39.02
3816,Bacillus simplex (firmicutes),NZ_CP011009.1,176219,NZ_CP011008.1,5345500,36.37,36.37,39.87
3817,Escherichia coli (E. coli),NZ_CP010877.1,1506,NZ_CP010876.1,5010884,50.2,50.2,50.77
3818,Escherichia coli (E. coli),NZ_CP010878.1,4088,NZ_CP010876.1,5010884,49.88,49.88,50.77
3819,Escherichia coli (E. coli),NZ_CP010879.1,5167,NZ_CP010876.1,5010884,47.51,47.51,50.77
3820,Escherichia coli (E. coli),NZ_CP010880.1,30855,NZ_CP010876.1,5010884,41.78,41.78,50.77
3821,Escherichia coli (E. coli),NZ_CP010881.1,116803,NZ_CP010876.1,5010884,52.16,52.16,50.77
3822,Escherichia coli (E. coli),NZ_CP010882.1,122966,NZ_CP010876.1,5010884,51.27,51.27,50.77
3823,Synechocystis sp. PCC 6714 (cyanobacteria),NZ_CP007543.1,108692,NZ_CP007542.1,3485441,44.1,44.1,47.81
3824,Synechocystis sp. PCC 6714 (cyanobacteria),NZ_CP007544.1,103516,NZ_CP007542.1,3485441,42.9,42.9,47.81
3825,Synechocystis sp. PCC 6714 (cyanobacteria),NZ_CP007545.1,41240,NZ_CP007542.1,3485441,46.21,46.21,47.81
3826,Xanthomonas fragariae (g-proteobacteria),NZ_LT853884.1,27106,NZ_LT853882.1,4272102,59.89,59.89,62.26
3827,Xanthomonas fragariae (g-proteobacteria),NZ_LT853883.1,29233,NZ_LT853882.1,4272102,57.77,57.77,62.26
3828,Zymomonas mobilis subsp. mobilis NCIMB 11163 (a-proteobacteria),NC_013356.1,53380,NC_013355.1,2124771,42.32,42.32,46.83
3829,Zymomonas mobilis subsp. mobilis NCIMB 11163 (a-proteobacteria),NC_013357.1,40818,NC_013355.1,2124771,43.8,43.8,46.83
3830,Zymomonas mobilis subsp. mobilis NCIMB 11163 (a-proteobacteria),NC_013358.1,4551,NC_013355.1,2124771,36.37,36.37,46.83
3831,Lactobacillus plantarum subsp. plantarum (firmicutes),NZ_CP025992.1,117339,NZ_CP025991.1,3359427,37.25,37.25,44.43
3832,Lactobacillus plantarum subsp. plantarum (firmicutes),NZ_CP025993.1,56891,NZ_CP025991.1,3359427,41.38,41.38,44.43
3833,Lactobacillus plantarum subsp. plantarum (firmicutes),NZ_CP025994.1,8212,NZ_CP025991.1,3359427,41.9,41.9,44.43
3834,Xanthomonas vesicatoria ATCC 35937 (g-proteobacteria),NZ_CP018726.1,192558,NZ_CP018725.1,5110163,59.14,59.14,64.26
3835,Xanthomonas vesicatoria ATCC 35937 (g-proteobacteria),NZ_CP018727.1,47184,NZ_CP018725.1,5110163,61.68,61.68,64.26
3836,Listeria monocytogenes (firmicutes),NZ_CP025562.1,6543,NZ_CP025565.1,2996364,37.9,37.9,37.97
3837,Listeria monocytogenes (firmicutes),NZ_CP025563.1,5934,NZ_CP025565.1,2996364,35.27,35.27,37.97
3838,Listeria monocytogenes (firmicutes),NZ_CP025564.1,16073,NZ_CP025565.1,2996364,35.16,35.16,37.97
3839,Salmonella enterica subsp. enterica (enterobacteria),NZ_CP030006.1,67730,NZ_CP030005.1,4725468,45.67,45.67,52.34
3840,Xylella fastidiosa (g-proteobacteria),NZ_CP009886.1,64251,NZ_CP009885.1,2813297,52.29,52.29,52.7
3841,Klebsiella pneumoniae (enterobacteria),NZ_CP027152.1,208849,NZ_CP027146.1,5274107,52.9,52.9,57.52
3842,Klebsiella pneumoniae (enterobacteria),NZ_CP027151.1,6451,NZ_CP027146.1,5274107,51.99,51.99,57.52
3843,Klebsiella pneumoniae (enterobacteria),NZ_CP027147.1,4223,NZ_CP027146.1,5274107,48.85,48.85,57.52
3844,Klebsiella pneumoniae (enterobacteria),NZ_CP027150.1,65684,NZ_CP027146.1,5274107,55.3,55.3,57.52
3845,Klebsiella pneumoniae (enterobacteria),NZ_CP027156.1,184525,NZ_CP027146.1,5274107,44.6,44.6,57.52
3846,Klebsiella pneumoniae (enterobacteria),NZ_CP027148.1,47286,NZ_CP027146.1,5274107,51.47,51.47,57.52
3847,Klebsiella pneumoniae (enterobacteria),NZ_CP027155.1,49000,NZ_CP027146.1,5274107,50.0,50.0,57.52
3848,Klebsiella pneumoniae (enterobacteria),NZ_CP027153.1,6547,NZ_CP027146.1,5274107,45.72,45.72,57.52
3849,Klebsiella pneumoniae (enterobacteria),NZ_CP027149.1,33772,NZ_CP027146.1,5274107,49.26,49.26,57.52
3850,Klebsiella pneumoniae (enterobacteria),NZ_CP027154.1,11576,NZ_CP027146.1,5274107,54.49,54.49,57.52
3851,Staphylococcus aureus subsp. aureus TCH60 (firmicutes),NC_017345.1,24491,NC_017342.1,2802675,28.2,28.2,32.87
3852,Caldicellulosiruptor kristjanssonii I77R1B (firmicutes),NC_014719.1,15970,NC_014721.1,2786473,35.79,35.79,36.1
3853,Carboxydocella thermautotrophica (firmicutes),NZ_CP028515.1,53067,NZ_CP028514.1,2690058,40.9,40.9,49.25
3854,Escherichia coli (E. coli),NZ_CP016405.1,63329,NZ_CP016404.1,4668621,42.65,42.65,50.87
3855,Escherichia coli (E. coli),NZ_CP019072.1,33858,NZ_CP019071.1,4877335,41.56,41.56,50.8
3856,Escherichia coli (E. coli),NZ_CP019073.1,46145,NZ_CP019071.1,4877335,46.65,46.65,50.8
3857,Escherichia coli (E. coli),NZ_CP019074.1,73992,NZ_CP019071.1,4877335,52.8,52.8,50.8
3858,Escherichia coli (E. coli),NZ_CP019075.1,96986,NZ_CP019071.1,4877335,47.63,47.63,50.8
3859,Escherichia coli (E. coli),NZ_CP019076.1,127772,NZ_CP019071.1,4877335,52.87,52.87,50.8
3860,Aeromonas veronii (g-proteobacteria),NZ_CP028134.1,5070,NZ_CP028133.1,4652208,52.31,52.31,58.49
3861,Escherichia coli (E. coli),NZ_CP027460.1,74247,NZ_CP027459.1,5253712,48.25,48.25,50.67
3862,Phaeobacter inhibens (a-proteobacteria),NZ_CP010618.1,240648,NZ_CP010617.1,3699460,58.46,58.46,59.95
3863,Phaeobacter inhibens (a-proteobacteria),NZ_CP010619.1,158154,NZ_CP010617.1,3699460,58.78,58.78,59.95
3864,Phaeobacter inhibens (a-proteobacteria),NZ_CP010620.1,85540,NZ_CP010617.1,3699460,62.11,62.11,59.95
3865,Phaeobacter inhibens (a-proteobacteria),NZ_CP010621.1,68678,NZ_CP010617.1,3699460,53.72,53.72,59.95
3866,Phaeobacter inhibens (a-proteobacteria),NZ_CP010622.1,68508,NZ_CP010617.1,3699460,62.9,62.9,59.95
3867,Enterococcus faecium (firmicutes),NZ_CP027498.1,207001,NZ_CP027497.1,2883877,35.22,35.22,37.97
3868,Enterococcus faecium (firmicutes),NZ_CP027499.1,63221,NZ_CP027497.1,2883877,35.9,35.9,37.97
3869,Enterococcus faecium (firmicutes),NZ_CP027500.1,46474,NZ_CP027497.1,2883877,35.7,35.7,37.97
3870,Escherichia coli (E. coli),NZ_CP025252.1,33924,NZ_CP025251.1,5131212,57.39,57.39,50.41
3871,Escherichia coli (E. coli),NZ_CP025253.1,105801,NZ_CP025251.1,5131212,52.02,52.02,50.41
3872,Klebsiella pneumoniae (enterobacteria),NZ_CP018670.1,183432,NZ_CP018671.1,5424949,52.01,52.01,57.12
3873,Klebsiella pneumoniae (enterobacteria),NZ_CP018665.1,2781,NZ_CP018671.1,5424949,47.79,47.79,57.12
3874,Klebsiella pneumoniae (enterobacteria),NZ_CP018666.1,3223,NZ_CP018671.1,5424949,56.31,56.31,57.12
3875,Klebsiella pneumoniae (enterobacteria),NZ_CP018667.1,5566,NZ_CP018671.1,5424949,49.46,49.46,57.12
3876,Klebsiella pneumoniae (enterobacteria),NZ_CP018668.1,43621,NZ_CP018671.1,5424949,48.27,48.27,57.12
3877,Klebsiella pneumoniae (enterobacteria),NZ_CP018669.1,88688,NZ_CP018671.1,5424949,53.92,53.92,57.12
3878,Klebsiella oxytoca KONIH1 (enterobacteria),NZ_CP008789.1,133397,NZ_CP008788.1,6152190,52.12,52.12,55.91
3879,Klebsiella oxytoca KONIH1 (enterobacteria),NZ_CP008790.1,193725,NZ_CP008788.1,6152190,51.58,51.58,55.91
3880,Klebsiella oxytoca KONIH1 (enterobacteria),NZ_CP008791.1,205586,NZ_CP008788.1,6152190,53.9,53.9,55.91
3881,Rickettsia rhipicephali str. 3-7-female6-CWPP (a-proteobacteria),NC_017055.1,15099,NC_017042.1,1290368,31.45,31.45,32.41
3882,Salmonella enterica subsp. enterica serovar Typhi (enterobacteria),NZ_CP029926.1,217120,NZ_CP029925.1,4786711,47.68,47.68,52.04
3883,Chlamydia psittaci M56 (chlamydias),NC_018635.1,7553,NC_018623.1,1161385,32.89,32.89,38.79
3884,Salmonella enterica subsp. enterica serovar Typhi (enterobacteria),NZ_CP029851.1,106705,NZ_CP029850.1,4801819,50.63,50.63,52.07
3885,Sulfitobacter sp. SK012 (a-proteobacteria),NZ_CP025805.1,188664,NZ_CP025804.1,4788204,54.28,54.28,54.92
3886,Sulfitobacter sp. SK012 (a-proteobacteria),NZ_CP025806.1,107111,NZ_CP025804.1,4788204,55.01,55.01,54.92
3887,Sulfitobacter sp. SK012 (a-proteobacteria),NZ_CP025807.1,92816,NZ_CP025804.1,4788204,54.65,54.65,54.92
3888,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP020890.1,129139,NZ_CP020889.1,5337525,63.6,63.6,64.7
3889,Xanthomonas citri subsp. citri (g-proteobacteria),NZ_CP020891.1,47756,NZ_CP020889.1,5337525,61.42,61.42,64.7
3890,Acinetobacter baumannii D1279779 (g-proteobacteria),NC_020525.1,7416,NC_020547.2,3704284,32.59,32.59,39.0
3891,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' (bacteria),NC_010846.1,74117,NC_010842.1,3603977,37.47,37.47,38.89
3892,Sphingomonas wittichii RW1 (a-proteobacteria),NC_009507.1,310228,NC_009511.1,5382261,64.09,64.09,68.4
3893,Sphingomonas wittichii RW1 (a-proteobacteria),NC_009508.1,222757,NC_009511.1,5382261,61.22,61.22,68.4
3894,Rhizorhabdus dicambivorans (a-proteobacteria),NZ_CP023450.1,163626,NZ_CP023449.1,5026772,63.82,63.82,65.53
3895,Rhizorhabdus dicambivorans (a-proteobacteria),NZ_CP023451.1,256400,NZ_CP023449.1,5026772,63.65,63.65,65.53
3896,Rhizorhabdus dicambivorans (a-proteobacteria),NZ_CP023452.1,40865,NZ_CP023449.1,5026772,60.61,60.61,65.53
3897,Rhizorhabdus dicambivorans (a-proteobacteria),NZ_CP023453.1,53636,NZ_CP023449.1,5026772,64.48,64.48,65.53
3898,Klebsiella pneumoniae (enterobacteria),NZ_CP028991.1,85698,NZ_CP028990.1,5275382,51.5,51.5,57.53
3899,Klebsiella pneumoniae (enterobacteria),NZ_CP028992.1,68953,NZ_CP028990.1,5275382,52.47,52.47,57.53
3900,Klebsiella pneumoniae (enterobacteria),NZ_CP028993.1,49476,NZ_CP028990.1,5275382,55.3,55.3,57.53
3901,Vibrio coralliilyticus (g-proteobacteria),NZ_CP009620.1,319400,NZ_CP009617.1,3420228,50.19,50.19,45.65
3902,Vibrio coralliilyticus (g-proteobacteria),NZ_CP009619.1,380714,NZ_CP009617.1,3420228,40.82,40.82,45.65
3903,Escherichia coli (E. coli),NZ_CP027448.1,170848,NZ_CP027447.1,5168620,47.42,47.42,50.69
3904,Klebsiella pneumoniae (enterobacteria),NZ_CP020109.1,169952,NZ_CP020108.1,5407749,52.7,52.7,57.36
3905,Klebsiella pneumoniae (enterobacteria),NZ_CP020110.1,73467,NZ_CP020108.1,5407749,54.73,54.73,57.36
3906,Klebsiella pneumoniae (enterobacteria),NZ_CP020111.1,43381,NZ_CP020108.1,5407749,46.84,46.84,57.36
3907,Klebsiella pneumoniae (enterobacteria),NZ_CP020112.1,13841,NZ_CP020108.1,5407749,53.68,53.68,57.36
3908,Xanthomonas citri subsp. malvacearum (g-proteobacteria),NZ_CP013007.1,59644,NZ_CP013006.1,5218607,61.9,61.9,64.54
3909,Borrelia duttonii Ly (spirochetes),NC_011224.1,11226,NC_011229.1,931674,25.29,25.29,27.59
3910,Borrelia duttonii Ly (spirochetes),NC_011226.1,15049,NC_011229.1,931674,28.09,28.09,27.59
3911,Borrelia duttonii Ly (spirochetes),NC_011247.1,163884,NC_011229.1,931674,26.57,26.57,27.59
3912,Borrelia duttonii Ly (spirochetes),NC_011257.1,23303,NC_011229.1,931674,26.35,26.35,27.59
3913,Borrelia duttonii Ly (spirochetes),NC_011259.1,23036,NC_011229.1,931674,28.95,28.95,27.59
3914,Borrelia duttonii Ly (spirochetes),NC_011261.1,26917,NC_011229.1,931674,28.92,28.92,27.59
3915,Borrelia duttonii Ly (spirochetes),NC_011265.1,27476,NC_011229.1,931674,28.53,28.53,27.59
3916,Borrelia duttonii Ly (spirochetes),NC_011245.1,28343,NC_011229.1,931674,28.87,28.87,27.59
3917,Borrelia duttonii Ly (spirochetes),NC_011262.1,31021,NC_011229.1,931674,27.82,27.82,27.59
3918,Borrelia duttonii Ly (spirochetes),NC_011264.1,31663,NC_011229.1,931674,30.21,30.21,27.59
3919,Borrelia duttonii Ly (spirochetes),NC_011248.1,35286,NC_011229.1,931674,31.57,31.57,27.59
3920,Borrelia duttonii Ly (spirochetes),NC_011249.1,35831,NC_011229.1,931674,29.48,29.48,27.59
3921,Borrelia duttonii Ly (spirochetes),NC_011250.1,40353,NC_011229.1,931674,29.89,29.89,27.59
3922,Borrelia duttonii Ly (spirochetes),NC_011251.1,41259,NC_011229.1,931674,29.4,29.4,27.59
3923,Borrelia duttonii Ly (spirochetes),NC_011254.1,42153,NC_011229.1,931674,30.25,30.25,27.59
3924,Borrelia duttonii Ly (spirochetes),NC_011256.1,66407,NC_011229.1,931674,30.23,30.23,27.59
3925,Helicobacter pylori Sat464 (e-proteobacteria),NC_017356.1,7228,NC_017359.1,1560342,33.52,33.52,39.12
3926,Klebsiella pneumoniae (enterobacteria),NZ_CP016815.1,212770,NZ_CP016814.1,5374626,50.1,50.1,57.57
3927,Bacillus cereus 03BB108 (firmicutes),NZ_CP009639.1,281957,NZ_CP009641.1,5342933,30.77,30.77,35.34
3928,Bacillus cereus 03BB108 (firmicutes),NZ_CP009636.1,238933,NZ_CP009641.1,5342933,31.9,31.9,35.34
3929,Bacillus cereus 03BB108 (firmicutes),NZ_CP009640.1,85879,NZ_CP009641.1,5342933,32.51,32.51,35.34
3930,Bacillus cereus 03BB108 (firmicutes),NZ_CP009638.1,61862,NZ_CP009641.1,5342933,35.46,35.46,35.34
3931,Bacillus cereus 03BB108 (firmicutes),NZ_CP009637.1,42470,NZ_CP009641.1,5342933,36.08,36.08,35.34
3932,Bacillus cereus 03BB108 (firmicutes),NZ_CP009635.1,9797,NZ_CP009641.1,5342933,31.8,31.8,35.34
3933,Bacillus cereus 03BB108 (firmicutes),NZ_CP009634.1,4898,NZ_CP009641.1,5342933,32.95,32.95,35.34
3934,Corynebacterium halotolerans YIM 70093 = DSM 44683 (high GC Gram+),NC_020303.1,86256,NC_020302.1,3135752,63.2,63.2,68.44
3935,Staphylococcus aureus (firmicutes),NZ_CP014377.1,3125,NZ_CP014376.1,2918010,28.74,28.74,32.79
3936,Staphylococcus aureus (firmicutes),NZ_CP014378.1,25980,NZ_CP014376.1,2918010,30.68,30.68,32.79
3937,Staphylococcus aureus (firmicutes),NZ_CP014379.1,2473,NZ_CP014376.1,2918010,30.81,30.81,32.79
3938,Staphylococcus aureus (firmicutes),NZ_CP014380.1,4397,NZ_CP014376.1,2918010,31.61,31.61,32.79
3939,Staphylococcus aureus (firmicutes),NZ_CP026075.1,23690,NZ_CP026074.1,2877716,33.76,33.76,32.89
3940,Cronobacter condimenti 1330 (enterobacteria),NZ_CP012265.1,151491,NZ_CP012264.1,4347991,54.03,54.03,55.84
3941,Clostridium botulinum B1 str. Okra (firmicutes),NC_010379.1,148780,NC_010516.1,3958233,25.36,25.36,28.34
3942,Escherichia coli O6:H16 (E. coli),NZ_CP022913.1,63392,NZ_CP022912.1,4785142,47.82,47.82,50.69
3943,Escherichia coli O6:H16 (E. coli),NZ_CP022914.1,117021,NZ_CP022912.1,4785142,46.87,46.87,50.69
3944,Hoeflea sp. IMCC20628 (a-proteobacteria),NZ_CP011480.1,154071,NZ_CP011479.1,4842322,57.25,57.25,58.95
3945,Hoeflea sp. IMCC20628 (a-proteobacteria),NZ_CP011481.1,123420,NZ_CP011479.1,4842322,56.39,56.39,58.95
3946,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019733.1,54978,NC_019753.1,5315554,40.94,40.94,40.16
3947,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019734.1,53213,NC_019753.1,5315554,39.82,39.82,40.16
3948,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019754.1,50800,NC_019753.1,5315554,39.38,39.38,40.16
3949,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019735.1,44285,NC_019753.1,5315554,40.56,40.56,40.16
3950,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019736.1,39142,NC_019753.1,5315554,41.11,41.11,40.16
3951,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019755.1,29492,NC_019753.1,5315554,38.84,38.84,40.16
3952,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019737.1,28455,NC_019753.1,5315554,40.34,40.34,40.16
3953,Crinalium epipsammum PCC 9333 (cyanobacteria),NC_019756.1,4488,NC_019753.1,5315554,39.59,39.59,40.16
3954,Vibrio parahaemolyticus (g-proteobacteria),NZ_CP009849.1,64049,NZ_CP009847.1,3348850,46.87,46.87,45.39
3955,Salmonella enterica subsp. enterica serovar Heidelberg (enterobacteria),NZ_CP016577.1,2246,NZ_CP016576.1,4751454,54.45,54.45,52.19
3956,Salmonella enterica subsp. enterica serovar Heidelberg (enterobacteria),NZ_CP016578.1,37697,NZ_CP016576.1,4751454,41.18,41.18,52.19
3957,Klebsiella variicola (enterobacteria),NZ_CP023978.1,213341,NZ_CP018307.1,5641443,51.03,51.03,57.35
3958,Klebsiella variicola (enterobacteria),NZ_CP023979.1,3358,NZ_CP018307.1,5641443,51.73,51.73,57.35
3959,Klebsiella variicola (enterobacteria),NZ_CP023980.1,52398,NZ_CP018307.1,5641443,47.18,47.18,57.35
3960,Klebsiella variicola (enterobacteria),NZ_CP023981.1,49735,NZ_CP018307.1,5641443,52.41,52.41,57.35
3961,Klebsiella variicola (enterobacteria),NZ_CP023982.1,3374,NZ_CP018307.1,5641443,46.24,46.24,57.35
3962,Klebsiella variicola (enterobacteria),NZ_CP023983.1,5399,NZ_CP018307.1,5641443,50.16,50.16,57.35
3963,Klebsiella variicola (enterobacteria),NZ_CP023984.1,111425,NZ_CP018307.1,5641443,48.98,48.98,57.35
