,AccID,Organism,Length,GC-content
6249,NZ_CP013280.1,"Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-5-100K, complete sequence",99993,33.88
6250,NZ_CP013281.1,"Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-6-16K, complete sequence",16147,32.33
6251,NZ_CP013283.1,"Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-8-7K, complete sequence",6824,35.99
6252,NZ_CP013284.1,"Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-9-5K, complete sequence",4830,34.37
6253,NZ_CP013294.1,"Chryseobacterium sp. IHB B 17019 plasmid pAR01, complete sequence",5558,32.73
6254,NZ_CP013295.1,"Clostridium botulinum strain CDC_54064 plasmid pNPD1_1, complete sequence",196981,25.09
6255,NZ_CP013298.1,"Arthrobacter sp. YC-RL1 plasmid unnamed 1, complete sequence",112763,57.81
6256,NZ_CP013299.1,"Arthrobacter sp. YC-RL1 plasmid unnamed 2, complete sequence",59604,58.96
6257,NZ_CP013300.1,"Staphylococcus sp. AntiMn-1 plasmid AM1_232, complete sequence",17052,29.98
6258,NZ_CP013321.1,"Klebsiella pneumoniae strain CAV1193 plasmid pCAV1193-3741, complete sequence",3741,45.9
6259,NZ_CP013323.1,"Klebsiella pneumoniae strain CAV1193 plasmid pCAV1193-258, complete sequence",257944,52.72
6260,NZ_CP013324.1,"Klebsiella pneumoniae strain CAV1193 plasmid pCAV1193-166, complete sequence",166486,52.44
6261,NZ_CP013325.1,"Klebsiella pneumoniae strain CAV1193 plasmid pKPC_CAV1193, complete sequence",49565,48.11
6262,NZ_CP013326.1,"Klebsiella pneumoniae strain CAV1193 plasmid pCAV1193-78, complete sequence",77808,53.33
6263,NZ_CP013332.1,"Fusobacterium hwasookii ChDC F174 plasmid unnamed1, complete sequence",52443,23.86
6264,NZ_CP013333.1,"Fusobacterium hwasookii ChDC F174 plasmid unnamed2, complete sequence",15572,24.83
6265,NZ_CP013335.1,"Fusobacterium hwasookii ChDC F300 plasmid, complete sequence",5489,27.91
6266,NZ_CP013337.1,"Fusobacterium hwasookii ChDC F206 plasmid, complete sequence",5838,23.35
6267,NZ_CP013339.1,"Raoultella ornithinolytica strain Yangling I2 plasmid pKPYL1, complete sequence",152010,52.18
6268,NZ_CP013340.1,"Raoultella ornithinolytica strain Yangling I2 plasmid pKPYL2, complete sequence",140936,52.66
6269,NZ_CP013343.1,"Sphingopyxis terrae NBRC 15098 strain 203-1 plasmid, complete sequence",4328,57.46
6270,NZ_CP013345.1,"Sphingopyxis macrogoltabida strain 203N plasmid unnamed1, complete sequence",421025,62.72
6271,NZ_CP013346.1,"Sphingopyxis macrogoltabida strain 203N plasmid unnamed2, complete sequence",151240,60.93
6272,NZ_CP013354.1,"Clostridium butyricum strain JKY6D1 plasmid, complete sequence",8060,27.43
6273,NZ_CP013369.1,"Burkholderia ubonensis strain RF23-BP41 plasmid pRF23, complete sequence",258679,62.13
6274,NZ_CP013379.1,"Burkholderia pseudomultivorans strain SUB-INT23-BP2 plasmid pINT23, complete sequence",111152,60.97
6275,NZ_CP013381.1,"Burkholderia sp. Bp5365 strain MSMB43 plasmid pMSMB43, complete sequence",305114,64.89
6276,NZ_CP013412.1,"Burkholderia thailandensis strain 2002721643 plasmid p2002721643, complete sequence",157775,62.02
6277,NZ_CP013415.1,"Burkholderia ubonensis strain MSMB2035 plasmid pMSMB2035, complete sequence",299296,61.05
6278,NZ_CP013419.1,"Burkholderia sp. MSMB0266 plasmid pMSMB0266, complete sequence",375023,60.84
6279,NZ_CP013423.1,"Burkholderia sp. MSMB0852 plasmid pMSMB0852, complete sequence",69213,59.76
6280,NZ_CP013426.1,"Burkholderia sp. MSMB0856 plasmid pMSMB0856, complete sequence",249331,61.42
6281,NZ_CP013436.1,"Burkholderia latens strain AU17928 plasmid pAU17928, complete sequence",45481,62.76
6282,NZ_CP013454.1,"Burkholderia vietnamiensis strain MSMB608WGS plasmid pMSMB608, complete sequence",128579,61.95
6283,NZ_CP013462.1,"Burkholderia ubonensis strain MSMB1471WGS plasmid pMSMB1471, complete sequence",14087,58.78
6284,NZ_CP013482.1,"Pandoraea apista strain DSM 16535 plasmid pPA35, complete sequence",77293,57.81
6285,NZ_CP013486.1,"Vibrio alginolyticus strain ATCC 33787 plasmid pMBL128, complete sequence",128112,44.28
6286,NZ_CP013487.1,"Vibrio alginolyticus strain ATCC 33787 plasmid pMBL287, complete sequence",286750,41.34
6287,NZ_CP013488.1,"Vibrio alginolyticus strain ATCC 33787 plasmid pMBL96, complete sequence",95866,45.99
6288,NZ_CP013491.1,"Rhizobium sp. N6212 plasmid pRspN6212a, complete sequence",315154,61.69
6289,NZ_CP013492.1,"Rhizobium sp. N6212 plasmid pRspN6212b, complete sequence",438384,57.82
6290,NZ_CP013493.1,"Rhizobium sp. N6212 plasmid pRspN6212c, complete sequence",501077,61.86
6291,NZ_CP013494.1,"Rhizobium sp. N6212 plasmid pRspN6212d, complete sequence",742499,61.04
6292,NZ_CP013496.1,"Rhizobium sp. N621 plasmid pRspN621a, complete sequence",315154,61.69
6293,NZ_CP013497.1,"Rhizobium sp. N621 plasmid pRspN621b, complete sequence",439584,57.81
6294,NZ_CP013498.1,"Rhizobium sp. N621 plasmid pRspN621c, complete sequence",501077,61.86
6295,NZ_CP013499.1,"Rhizobium sp. N621 plasmid pRspN621d, complete sequence",742499,61.04
6296,NZ_CP013501.1,"Rhizobium etli strain N561 plasmid pRspN561a, complete sequence",315151,61.69
6297,NZ_CP013502.1,"Rhizobium etli strain N561 plasmid pRspN561b, complete sequence",433056,57.79
6298,NZ_CP013503.1,"Rhizobium etli strain N561 plasmid pRspN561c, complete sequence",501077,61.86
6299,NZ_CP013504.1,"Rhizobium etli strain N561 plasmid pRspN561d, complete sequence",752940,60.97
6300,NZ_CP013506.1,"Rhizobium sp. N1341 plasmid pRspN1341a, complete sequence",80368,57.4
6301,NZ_CP013507.1,"Rhizobium sp. N1341 plasmid pRspN1341b, complete sequence",314785,61.69
6302,NZ_CP013508.1,"Rhizobium sp. N1341 plasmid pRspN1341c, complete sequence",434334,57.78
6303,NZ_CP013509.1,"Rhizobium sp. N1341 plasmid pRspN1341d, complete sequence",501077,61.86
6304,NZ_CP013510.1,"Rhizobium sp. N1341 plasmid pRspN1341e, complete sequence",751351,60.98
6305,NZ_CP013512.1,"Rhizobium sp. N1314 plasmid pRspN1314a, complete sequence",162302,61.42
6306,NZ_CP013513.1,"Rhizobium sp. N1314 plasmid pRspN1314b, complete sequence",336117,61.14
6307,NZ_CP013514.1,"Rhizobium sp. N1314 plasmid pRspN1314c, complete sequence",433217,57.93
6308,NZ_CP013515.1,"Rhizobium sp. N1314 plasmid pRspN1314d, complete sequence",488795,61.65
6309,NZ_CP013516.1,"Rhizobium sp. N1314 plasmid pRspN1314e, complete sequence",506687,62.0
6310,NZ_CP013518.1,"Rhizobium sp. N113 plasmid pRspN113a, complete sequence",315151,61.69
6311,NZ_CP013519.1,"Rhizobium sp. N113 plasmid pRspN113b, complete sequence",435821,57.8
6312,NZ_CP013520.1,"Rhizobium sp. N113 plasmid pRspN113c, complete sequence",501077,61.86
6313,NZ_CP013521.1,"Rhizobium sp. N113 plasmid pRspN113d, complete sequence",755598,60.96
6314,NZ_CP013523.1,"Rhizobium phaseoli strain R744 plasmid pRphaR744a, complete sequence",256181,57.84
6315,NZ_CP013524.1,"Rhizobium phaseoli strain R744 plasmid pRphaR744b, complete sequence",343400,61.76
6316,NZ_CP013525.1,"Rhizobium phaseoli strain R744 plasmid pRphaR744c, complete sequence",407814,62.31
6317,NZ_CP013526.1,"Rhizobium phaseoli strain R744 plasmid pRphaR744d, complete sequence",1195489,60.98
6318,NZ_CP013528.1,"Rhizobium phaseoli strain R723 plasmid pRphaR723a, complete sequence",349793,61.93
6319,NZ_CP013529.1,"Rhizobium phaseoli strain R723 plasmid pRphaR723b, complete sequence",427855,62.27
6320,NZ_CP013530.1,"Rhizobium phaseoli strain R723 plasmid pRphaR723c, complete sequence",429574,58.06
6321,NZ_CP013531.1,"Rhizobium phaseoli strain R723 plasmid pRphaR723d, complete sequence",1074795,60.95
6322,NZ_CP013533.1,"Rhizobium phaseoli strain R650 plasmid pRphaR650a, complete sequence",352129,61.76
6323,NZ_CP013534.1,"Rhizobium phaseoli strain R650 plasmid pRphaR650b, complete sequence",413457,62.33
6324,NZ_CP013535.1,"Rhizobium phaseoli strain R650 plasmid pRphaR650c, complete sequence",435286,58.03
6325,NZ_CP013536.1,"Rhizobium phaseoli strain R650 plasmid pRphaR650d, complete sequence",990934,61.23
6326,NZ_CP013538.1,"Rhizobium phaseoli strain R630 plasmid pRphaR630a, complete sequence",344843,61.84
6327,NZ_CP013539.1,"Rhizobium phaseoli strain R630 plasmid pRphaR630b, complete sequence",421824,62.25
6328,NZ_CP013540.1,"Rhizobium phaseoli strain R630 plasmid pRphaR630c, complete sequence",442592,58.04
6329,NZ_CP013541.1,"Rhizobium phaseoli strain R630 plasmid pRphaR630d, complete sequence",1144409,60.92
6330,NZ_CP013543.1,"Rhizobium phaseoli strain R620 plasmid pRphaR620a, complete sequence",356390,61.73
6331,NZ_CP013544.1,"Rhizobium phaseoli strain R620 plasmid pRphaR620b, complete sequence",355825,57.93
6332,NZ_CP013545.1,"Rhizobium phaseoli strain R620 plasmid pRphaR620c, complete sequence",413449,62.33
6333,NZ_CP013546.1,"Rhizobium phaseoli strain R620 plasmid pRphaR620d, complete sequence",1080727,61.08
6334,NZ_CP013548.1,"Rhizobium phaseoli strain R611 plasmid pRetR611a, complete sequence",352129,61.76
6335,NZ_CP013549.1,"Rhizobium phaseoli strain R611 plasmid pRetR611b, complete sequence",413457,62.33
6336,NZ_CP013550.1,"Rhizobium phaseoli strain R611 plasmid pRetR611c, complete sequence",414080,58.13
6337,NZ_CP013551.1,"Rhizobium phaseoli strain R611 plasmid pRetR611d, complete sequence",990934,61.23
6338,NZ_CP013553.1,"Rhizobium phaseoli strain N931 plasmid pRphaN931a, complete sequence",340631,61.73
6339,NZ_CP013554.1,"Rhizobium phaseoli strain N931 plasmid pRphaN931b, complete sequence",431484,62.13
6340,NZ_CP013555.1,"Rhizobium phaseoli strain N931 plasmid pRphaN931c, complete sequence",453545,57.88
6341,NZ_CP013556.1,"Rhizobium phaseoli strain N931 plasmid pRphaN931d, complete sequence",1165895,61.14
6342,NZ_CP013558.1,"Rhizobium phaseoli strain N841 plasmid pRphaN841a, complete sequence",81923,56.94
6343,NZ_CP013559.1,"Rhizobium phaseoli strain N841 plasmid pRphaN841b, complete sequence",351351,61.69
6344,NZ_CP013560.1,"Rhizobium phaseoli strain N841 plasmid pRphaN841c, complete sequence",407882,62.26
6345,NZ_CP013561.1,"Rhizobium phaseoli strain N841 plasmid pRphaN841d, complete sequence",433209,57.93
6346,NZ_CP013562.1,"Rhizobium phaseoli strain N841 plasmid pRphaN841e, complete sequence",1201422,60.84
6347,NZ_CP013564.1,"Rhizobium phaseoli strain N831 plasmid pRphaN831a, complete sequence",340631,61.73
6348,NZ_CP013565.1,"Rhizobium phaseoli strain N831 plasmid pRphaN831b, complete sequence",431484,62.13
6349,NZ_CP013566.1,"Rhizobium phaseoli strain N831 plasmid pRphaN831c, complete sequence",453258,57.88
6350,NZ_CP013567.1,"Rhizobium phaseoli strain N831 plasmid pRphaN831d, complete sequence",1165895,61.14
6351,NZ_CP013569.1,"Rhizobium phaseoli strain N771 plasmid pRphaN771a, complete sequence",96338,56.63
6352,NZ_CP013570.1,"Rhizobium phaseoli strain N771 plasmid pRphaN771b, complete sequence",352133,61.76
6353,NZ_CP013571.1,"Rhizobium phaseoli strain N771 plasmid pRphaN771c, complete sequence",414617,62.34
6354,NZ_CP013572.1,"Rhizobium phaseoli strain N771 plasmid pRphaN671d, complete sequence",459642,57.96
6355,NZ_CP013573.1,"Rhizobium phaseoli strain N771 plasmid pRphaN771e, complete sequence",1189373,60.89
6356,NZ_CP013575.1,"Rhizobium phaseoli strain N671 plasmid pRphaN671a, complete sequence",96338,56.63
6357,NZ_CP013576.1,"Rhizobium phaseoli strain N671 plasmid pRphaN671b, complete sequence",352133,61.76
6358,NZ_CP013577.1,"Rhizobium phaseoli strain N671 plasmid pRphaN671c, complete sequence",414617,62.34
6359,NZ_CP013578.1,"Rhizobium phaseoli strain N671 plasmid pRphaN671d, complete sequence",459642,57.96
6360,NZ_CP013579.1,"Rhizobium phaseoli strain N671 plasmid pRphaN671e, complete sequence",1189373,60.89
6361,NZ_CP013581.1,"Rhizobium phaseoli strain N261 plasmid pRphaN261a, complete sequence",349796,61.93
6362,NZ_CP013582.1,"Rhizobium phaseoli strain N261 plasmid pRphaN261b, complete sequence",427855,62.27
6363,NZ_CP013583.1,"Rhizobium phaseoli strain N261 plasmid pRphaN261c, complete sequence",429574,58.06
6364,NZ_CP013584.1,"Rhizobium phaseoli strain N261 plasmid pRphaN261d, complete sequence",1074794,60.95
6365,NZ_CP013586.1,"Rhizobium phaseoli strain N161 plasmid pRphaN161a, complete sequence",354689,61.8
6366,NZ_CP013587.1,"Rhizobium phaseoli strain N161 plasmid pRphaN161b, complete sequence",395855,57.96
6367,NZ_CP013588.1,"Rhizobium phaseoli strain N161 plasmid pRphaN161c, complete sequence",407297,62.35
6368,NZ_CP013589.1,"Rhizobium phaseoli strain N161 plasmid pRphaN161d, complete sequence",1048055,61.2
6369,NZ_CP013591.1,"Rhizobium sp. N871 plasmid pRspN871a, complete sequence",315154,61.69
6370,NZ_CP013592.1,"Rhizobium sp. N871 plasmid pRspN871b, complete sequence",433056,57.79
6371,NZ_CP013593.1,"Rhizobium sp. N871 plasmid pRspN871c, complete sequence",501077,61.86
6372,NZ_CP013594.1,"Rhizobium sp. N871 plasmid pRspN871d, complete sequence",752940,60.97
6373,NZ_CP013596.1,"Rhizobium sp. N741 plasmid pRspN741a, complete sequence",80368,57.4
6374,NZ_CP013597.1,"Rhizobium sp. N741 plasmid pRspN741b, complete sequence",314785,61.69
6375,NZ_CP013598.1,"Rhizobium sp. N741 plasmid pRspN741c, complete sequence",433134,57.79
6376,NZ_CP013599.1,"Rhizobium sp. N741 plasmid pRspN741d, complete sequence",501077,61.86
6377,NZ_CP013600.1,"Rhizobium sp. N741 plasmid pRspN741e, complete sequence",752910,60.97
6378,NZ_CP013602.1,"Rhizobium sp. N731 plasmid pRspN731a, complete sequence",162302,61.42
6379,NZ_CP013603.1,"Rhizobium sp. N731 plasmid pRspN731b, complete sequence",336117,61.14
6380,NZ_CP013604.1,"Rhizobium sp. N731 plasmid pRspN731c, complete sequence",433219,57.93
6381,NZ_CP013605.1,"Rhizobium sp. N731 plasmid pRspN731d, complete sequence",488789,61.65
6382,NZ_CP013606.1,"Rhizobium sp. N731 plasmid pRspN731e, complete sequence",506687,62.0
6383,NZ_CP013613.1,"Pseudoalteromonas rubra strain SCSIO 6842 plasmid pMBL6842, complete sequence",69868,53.04
6384,NZ_CP013615.1,"Clostridium perfringens strain JP838 plasmid pJFP838A, complete sequence",404393,24.74
6385,NZ_CP013617.1,"Staphylococcus aureus strain RIVM1295 plasmid pRIVM1295-1, complete sequence",2362,31.12
6386,NZ_CP013618.1,"Staphylococcus aureus strain RIVM1295 plasmid pRIVM1295-2, complete sequence",3048,29.27
6387,NZ_CP013620.1,"Staphylococcus aureus strain RIVM1607 plasmid pRIVM1607, complete sequence",1442,35.51
6388,NZ_CP013631.1,"Rhizobium sp. N324 plasmid pRspN324a, complete sequence",305839,62.19
6389,NZ_CP013632.1,"Rhizobium sp. N324 plasmid pRspN324b, complete sequence",407833,60.99
6390,NZ_CP013633.1,"Rhizobium sp. N324 plasmid pRspN324c, complete sequence",447145,57.91
6391,NZ_CP013634.1,"Rhizobium sp. N324 plasmid pRspN324d, complete sequence",504141,62.03
6392,NZ_CP013635.1,"Rhizobium sp. N324 plasmid pRspN324e, complete sequence",667630,61.36
6393,NZ_CP013637.1,"Rhizobium sp. N541 plasmid pRspN541a, complete sequence",300955,62.13
6394,NZ_CP013638.1,"Rhizobium sp. N541 plasmid pRspN541b, complete sequence",408857,60.99
6395,NZ_CP013641.1,"Rhizobium sp. N541 plasmid pRspN541d, complete sequence",504214,62.02
6396,NZ_CP013642.1,"Rhizobium sp. N541 plasmid pRspN541e, complete sequence",661871,61.35
6397,NZ_CP013644.1,"Rhizobium sp. N941 plasmid pRspN941a, complete sequence",300955,62.13
6398,NZ_CP013645.1,"Rhizobium sp. N941 plasmid pRspN941b, complete sequence",408857,60.99
6399,NZ_CP013648.1,"Rhizobium sp. N941 plasmid pRspN941d, complete sequence",505351,62.04
6400,NZ_CP013649.1,"Rhizobium sp. N941 plasmid pRspN941e, complete sequence",661872,61.35
6401,NZ_CP013657.1,"Escherichia coli strain uk_P46212 plasmid, complete sequence",143748,52.75
6402,NZ_CP013660.2,"Planococcus kocurii strain ATCC 43650 plasmid, complete sequence",13524,40.28
6403,NZ_CP013664.1,"Xanthomonas citri pv. citri strain jx-6 plasmid pXAC64, complete sequence",64919,61.41
6404,NZ_CP013665.1,"Xanthomonas citri pv. citri strain jx-6 plasmid pXAC33, complete sequence",33703,61.88
6405,NZ_CP013668.1,"Coxiella burnetii strain 3262 plasmid QpH1, complete sequence",37320,39.31
6406,NZ_CP013669.1,"Piscirickettsia salmonis LF-89 = ATCC VR-1361 plasmid pPSLF89-4, complete sequence",57445,37.28
6407,NZ_CP013682.1,"Clostridium botulinum strain 1169 plasmid pRSJ8_1, complete sequence",196981,25.09
6408,NZ_CP013684.1,"Clostridium botulinum strain AM282 plasmid pRSJ10_1, complete sequence",266230,25.56
6409,NZ_CP013687.1,"Clostridium botulinum strain F1425 plasmid pRSJ9_1, complete sequence",10089,26.49
6410,NZ_CP013691.1,"Myroides odoratimimus strain PR63039 plasmid p63039, complete sequence",90798,31.29
6411,NZ_CP013700.1,"Clostridium botulinum strain AM1195 plasmid pRSJ11_1, complete sequence",267642,25.43
6412,NZ_CP013706.1,"Clostridium botulinum strain F160 plasmid pRSJ3_1, complete sequence",17568,26.05
6413,NZ_CP013708.1,"Clostridium botulinum strain F634 plasmid pRSJ2_1, complete sequence",11471,23.94
6414,NZ_CP013709.1,"Clostridium botulinum strain F634 plasmid pRSJ2_2, complete sequence",205718,25.06
6415,NZ_CP013710.1,"Clostridium botulinum strain F634 plasmid pRSJ2_3, complete sequence",244784,25.57
6416,NZ_CP013712.1,"Klebsiella pneumoniae strain J1 plasmid 1, complete sequence",74973,52.36
6417,NZ_CP013713.1,"Klebsiella pneumoniae strain J1 plasmid 2, complete sequence",53400,49.77
6418,NZ_CP013715.1,"Staphylococcus equorum strain C2014 plasmid pC2014-1, complete sequence",80302,29.9
6419,NZ_CP013716.1,"Staphylococcus equorum strain C2014 plasmid pC2014-2, complete sequence",64385,29.87
6420,NZ_CP013717.1,"Staphylococcus equorum strain C2014 plasmid pC2014-3, complete sequence",12974,29.03
6421,NZ_CP013718.1,"Staphylococcus equorum strain C2014 plasmid pC2014-4, complete sequence",7313,34.68
6422,NZ_CP013719.1,"Staphylococcus equorum strain C2014 plasmid pC2014-5, complete sequence",12006,34.89
6423,NZ_CP013721.1,"Salmonella enterica subsp. enterica serovar Typhimurium strain RM10607 plasmid pRM10607, complete sequence",93925,53.12
6424,NZ_CP013725.1,"Listeria monocytogenes strain Lm N1546 plasmid pLmN1546, complete sequence",86616,36.98
6425,NZ_CP013728.1,"Bacillus amyloliquefaciens strain MBE1283 plasmid Unnamed 1, complete sequence",13003,42.56
6426,NZ_CP013734.1,"Campylobacter coli strain OR12 plasmid pOR12Vir, complete sequence",37395,25.91
6427,NZ_CP013735.1,"Campylobacter coli strain OR12 plasmid pOR12TET, complete sequence",27981,27.11
6428,NZ_CP013736.1,"Campylobacter coli strain OR12 plasmid pOR12CC42, complete sequence",27987,28.93
6429,NZ_CP013739.1,"Streptomyces globisporus C-1027 plasmid SGLP1, complete sequence",167754,69.49
6430,NZ_CP013740.1,"Streptomyces globisporus C-1027 plasmid pSGL1, complete sequence",7234,70.89
6431,NZ_CP013744.1,"Streptomyces sp. CdTB01 plasmid, complete sequence",288836,69.91
6432,NZ_CP013746.1,"Arthrobacter sp. A3 plasmid, complete sequence",194226,57.11
6433,NZ_CP013748.1,"Pseudarthrobacter sulfonivorans strain Ar51 plasmid unnamed, complete sequence",12394,56.32
6434,NZ_CP013750.1,"Lactobacillus plantarum strain KP plasmid unnamed1, complete sequence",127346,40.46
6435,NZ_CP013751.1,"Lactobacillus plantarum strain KP plasmid unnamed2, complete sequence",78406,42.51
6436,NZ_CP013752.1,"Lactobacillus plantarum strain KP plasmid unnamed3, complete sequence",68522,36.52
6437,NZ_CP013754.1,"Lactobacillus plantarum strain DF plasmid unnamed1, complete sequence",127132,39.97
6438,NZ_CP013755.1,"Lactobacillus plantarum strain DF plasmid unnamed2, complete sequence",83144,42.34
6439,NZ_CP013756.1,"Lactobacillus plantarum strain DF plasmid unnamed3, complete sequence",63067,36.64
6440,NZ_CP013758.1,"Piscirickettsia salmonis strain AY6492A plasmid p1PS1, complete sequence",82119,38.16
6441,NZ_CP013759.1,"Piscirickettsia salmonis strain AY6492A plasmid p2PS1, complete sequence",39299,38.29
6442,NZ_CP013760.1,"Piscirickettsia salmonis strain AY6492A plasmid p3PS1, complete sequence",32154,39.42
6443,NZ_CP013761.1,"Piscirickettsia salmonis strain AY6492A plasmid p4PS1, complete sequence",158156,39.23
6444,NZ_CP013763.1,"Piscirickettsia salmonis strain PM21567A plasmid p1PS2, complete sequence",120730,39.19
6445,NZ_CP013764.1,"Piscirickettsia salmonis strain PM21567A plasmid p2PS2, complete sequence",82125,38.15
6446,NZ_CP013765.1,"Piscirickettsia salmonis strain PM21567A plasmid p3PS2, complete sequence",39331,38.28
6447,NZ_CP013766.1,"Piscirickettsia salmonis strain PM21567A plasmid p4PS2, complete sequence",32163,39.42
6448,NZ_CP013767.1,"Piscirickettsia salmonis strain PM21567A plasmid p5PS2, complete sequence",31920,39.08
6449,NZ_CP013769.1,"Piscirickettsia salmonis strain PM23019A plasmid p1PS3, complete sequence",153216,38.91
6450,NZ_CP013770.1,"Piscirickettsia salmonis strain PM23019A plasmid p2PS3, complete sequence",36218,38.49
6451,NZ_CP013771.1,"Piscirickettsia salmonis strain PM23019A plasmid p3PS3, complete sequence",36063,39.33
6452,NZ_CP013772.1,"Piscirickettsia salmonis strain PM23019A plasmid p4PS3, complete sequence",27957,39.51
6453,NZ_CP013774.1,"Piscirickettsia salmonis strain PM37984A plasmid p1PS4, complete sequence",138636,38.95
6454,NZ_CP013775.1,"Piscirickettsia salmonis strain PM37984A plasmid p2PS4, complete sequence",36081,39.32
6455,NZ_CP013776.1,"Piscirickettsia salmonis strain PM37984A plasmid p3PS4, complete sequence",36245,38.5
6456,NZ_CP013777.1,"Piscirickettsia salmonis strain PM37984A plasmid p4PS4, complete sequence",27962,39.52
6457,NZ_CP013779.1,"Piscirickettsia salmonis strain PM51819A plasmid p1PS5, complete sequence",165427,38.93
6458,NZ_CP013780.1,"Piscirickettsia salmonis strain PM51819A plasmid p2PS5, complete sequence",122750,39.12
6459,NZ_CP013782.1,"Piscirickettsia salmonis strain PM49811B plasmid p1PS6, complete sequence",181226,38.97
6460,NZ_CP013783.1,"Piscirickettsia salmonis strain PM49811B plasmid p2PS6, complete sequence",50681,38.94
6461,NZ_CP013784.1,"Piscirickettsia salmonis strain PM49811B plasmid p3PS6, complete sequence",57419,37.28
6462,NZ_CP013785.1,"Piscirickettsia salmonis strain PM49811B plasmid p4PS6, complete sequence",33546,40.62
6463,NZ_CP013787.1,"Piscirickettsia salmonis strain PM58386B plasmid p1PS7, complete sequence",181332,38.98
6464,NZ_CP013788.1,"Piscirickettsia salmonis strain PM58386B plasmid p2PS7, complete sequence",50691,38.94
6465,NZ_CP013789.1,"Piscirickettsia salmonis strain PM58386B plasmid p3PS7, complete sequence",57431,37.27
6466,NZ_CP013790.1,"Piscirickettsia salmonis strain PM58386B plasmid p4PS7, complete sequence",33555,40.62
6467,NZ_CP013792.1,"Piscirickettsia salmonis strain AY6297B plasmid p1PS8, complete sequence",188268,39.14
6468,NZ_CP013793.1,"Piscirickettsia salmonis strain AY6297B plasmid p2PS8, complete sequence",60081,37.33
6469,NZ_CP013794.1,"Piscirickettsia salmonis strain AY6297B plasmid p3PS8, complete sequence",33557,40.62
6470,NZ_CP013795.1,"Piscirickettsia salmonis strain AY6297B plasmid p4PS8, complete sequence",45766,55.04
6471,NZ_CP013797.1,"Piscirickettsia salmonis strain AY6532B plasmid p1PS9, complete sequence",188297,39.14
6472,NZ_CP013798.1,"Piscirickettsia salmonis strain AY6532B plasmid p2PS9, complete sequence",60078,37.33
6473,NZ_CP013799.1,"Piscirickettsia salmonis strain AY6532B plasmid p3PS9, complete sequence",33518,40.61
6474,NZ_CP013800.1,"Piscirickettsia salmonis strain AY6532B plasmid p4PS9, complete sequence",20368,53.08
6475,NZ_CP013802.1,"Piscirickettsia salmonis strain PM22180B plasmid p1PS13, complete sequence",57431,37.27
6476,NZ_CP013803.1,"Piscirickettsia salmonis strain PM22180B plasmid p2PS13, complete sequence",51575,39.07
6477,NZ_CP013804.1,"Piscirickettsia salmonis strain PM22180B plasmid p3PS13, complete sequence",181038,38.92
6478,NZ_CP013805.1,"Piscirickettsia salmonis strain PM22180B plasmid p4PS13, complete sequence",33533,40.6
6479,NZ_CP013807.1,"Piscirickettsia salmonis strain PM31429B plasmid p1PS12, complete sequence",181234,38.96
6480,NZ_CP013808.1,"Piscirickettsia salmonis strain PM31429B plasmid p2PS12, complete sequence",50691,38.95
6481,NZ_CP013809.1,"Piscirickettsia salmonis strain PM31429B plasmid p3PS12, complete sequence",57428,37.27
6482,NZ_CP013810.1,"Piscirickettsia salmonis strain PM31429B plasmid p4PS12, complete sequence",33559,40.62
6483,NZ_CP013812.1,"Piscirickettsia salmonis strain AY3864B plasmid p1PS11, complete sequence",60086,37.33
6484,NZ_CP013813.1,"Piscirickettsia salmonis strain AY3864B plasmid p2PS11, complete sequence",33556,40.62
6485,NZ_CP013814.1,"Piscirickettsia salmonis strain AY3864B plasmid p3PS11, complete sequence",45767,55.04
6486,NZ_CP013815.1,"Piscirickettsia salmonis strain AY3864B plasmid p4PS11, complete sequence",188300,39.14
6487,NZ_CP013817.1,"Piscirickettsia salmonis strain AY3800B plasmid p1PS10, complete sequence",60086,37.33
6488,NZ_CP013818.1,"Piscirickettsia salmonis strain AY3800B plasmid p2PS10, complete sequence",33556,40.62
6489,NZ_CP013819.1,"Piscirickettsia salmonis strain AY3800B plasmid p3PS10, complete sequence",45767,55.04
6490,NZ_CP013820.1,"Piscirickettsia salmonis strain AY3800B plasmid p4PS10, complete sequence",188301,39.14
6491,NZ_CP013822.1,"Piscirickettsia salmonis strain PM25344B plasmid p1PS14, complete sequence",57549,37.27
6492,NZ_CP013823.1,"Piscirickettsia salmonis strain PM25344B plasmid p2PS14, complete sequence",51601,39.04
6493,NZ_CP013824.1,"Piscirickettsia salmonis strain PM25344B plasmid p3PS14, complete sequence",181103,38.91
6494,NZ_CP013825.1,"Piscirickettsia salmonis strain PM25344B plasmid p4PS14, complete sequence",33542,40.61
6495,NZ_CP013832.1,"Escherichia coli strain CD306 plasmid pCD306, complete sequence",145221,52.87
6496,NZ_CP013833.1,"Escherichia coli strain JJ2434 plasmid pJJ2434_1, complete sequence",126302,52.56
6497,NZ_CP013834.1,"Escherichia coli strain JJ2434 plasmid pJJ2434_2, complete sequence",62183,50.73
6498,NZ_CP013842.1,"Clostridium botulinum strain AM1051 plasmid pRSJ13_1, complete sequence",10111,26.37
